日期,台灣水泥股份有限公司蘇澳廠-#3旋窯違規,台灣水泥股份有限公司蘇澳廠-#3冷卻機違規,台灣水泥股份有限公司蘇澳廠-#6旋窯違規,台灣水泥股份有限公司蘇澳廠-#6冷卻機違規,信大水泥股份有限公司南聖湖廠-#2旋窯違規,信大水泥股份有限公司南聖湖廠-#2冷卻機違規,信大水泥股份有限公司南聖湖廠-#3旋窯違規,信大水泥股份有限公司南聖湖廠-#3冷卻機違規,幸福水泥股份有限公司東澳廠-#2旋窯違規,幸福水泥股份有限公司東澳廠-#2冷卻機違規,臺灣化學纖維股份有限公司龍德廠-LT2鍋爐違規,臺灣化學纖維股份有限公司龍德廠-LT3鍋爐違規,潤泰精密材料股份有限公司宜蘭冬山廠-旋窯違規,潤泰精密材料股份有限公司宜蘭冬山廠-冷卻機違規,羅東鋼鐵股份有限公司煉鋼廠-電弧爐違規,宜蘭縣利澤資源回收(焚化)廠-#1焚化爐違規,宜蘭縣利澤資源回收(焚化)廠-#2焚化爐違規
20130101,,,5,,,,,1,2,,,,,,,,
20130102,,,3,,,,,,4,,,,,,,,
20130103,,,,,,,1,1,,,,,,1,,,
20130104,,,3,,,,4,1,3,,,,,1,,,
20130105,,,,,,,4,4,14,,,,,,,,
20130106,,,,,,,1,11,6,,,,,,,,
20130107,,,6,,,,,1,17,,,,,,,,
20130108,2,,4,,,,5,,19,,,,,,,,
20130109,,,6,,,,1,,22,,,,,,,,
20130110,,,,,,,,5,17,,,,,,,,
20130111,,,1,,,,2,11,6,5,,,,,,,
20130112,,,,,,,1,7,2,,,,,,,,
20130113,,,1,,,,,10,2,,,,,,,,
20130114,,,7,,,,3,,2,,,,,,,,
20130115,,,6,,,,1,,1,,,,,,,,
20130116,8,,8,,,,8,1,3,,,,,,,,
20130117,,,7,,,,5,,3,,,,,,,,
20130118,5,,6,2,,,,1,,,,,,,,,
20130119,,,,,,,3,1,2,,,,,,,,
20130120,,,4,,,,1,7,1,,,,,,,,
20130121,4,,,,,,4,8,,,,,11,,,,
20130122,7,,2,,,,6,2,4,,,,3,,,,
