日期,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P102 #3冷卻機-不透光率(10%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P302 #6冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P203 #2冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P304 #3冷卻機-不透光率(10%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-不透光率(20%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-氮氧化物(450ppm)-超標,幸福水泥股份有限公司東澳廠-P004 #2冷卻機-不透光率(10%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-氮氧化物(50ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-不透光率(20%)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-氮氧化物(450ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P007 冷卻機-不透光率(10%)-超標,羅東鋼鐵股份有限公司煉鋼廠-P001 電弧爐-不透光率(10%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氯化氫(27.3ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氯化氫(27.3ppm)-超標
20160101,0/0/0,0/0/0,1/1/0,0/0/0,0/0/0,3/3/2,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,1/1/0,24/24/4,12/9/0,6/1/0,1/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160102,2/2/0,0/0/0,0/0/0,0/0/0,0/0/0,7/7/1,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,11/11/3,16/14/2,1/0/0,3/2/1,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,13/13/5,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160103,18/17/6,0/0/0,0/0/0,7/7/1,0/0/0,6/6/3,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,4/4/0,0/0/0,0/0/0,1/1/0,2/2/0,1/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,7/7/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160104,6/6/0,0/0/0,0/0/0,0/0/0,0/0/0,1/1/0,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,8/2/1,0/0/0,1/0/0,3/1/0,0/0/0,5/2/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,1/1/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160105,6/6/2,1/1/0,1/1/1,5/5/3,0/0/0,1/1/0,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,3/3/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,1/1/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160106,13/13/4,0/0/0,0/0/0,0/0/0,0/0/0,3/3/1,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,1/1/0,0/0/0,7/7/5,3/2/1,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160107,5/5/4,1/1/0,0/0/0,1/1/1,0/0/0,5/5/3,0/0/0,1/1/1,1/0/0,0/0/0,1/0/0,3/3/0,1/1/0,15/14/2,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,1/1/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160108,6/6/5,1/1/0,2/2/0,0/0/0,0/0/0,3/3/0,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,5/5/2,1/1/0,0/0/0,2/1/1,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160109,3/3/2,1/1/0,3/2/1,0/0/0,0/0/0,12/12/3,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,7/7/1,0/0/0,5/5/4,8/8/2,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160110,2/2/0,0/0/0,4/4/1,0/0/0,0/0/0,6/6/3,0/0/0,10/8/7,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,24/22/5,5/2/0,0/0/0,6/5/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,1/1/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160111,0/0/0,0/0/0,1/1/0,0/0/0,0/0/0,8/8/1,0/0/0,2/2/2,1/0/0,0/0/0,1/0/0,12/0/0,1/1/0,25/11/2,8/8/2,0/0/0,11/10/2,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160112,1/1/0,0/0/0,4/4/1,0/0/0,0/0/0,16/15/4,0/0/0,4/4/3,3/0/0,0/0/0,1/0/0,3/0/0,0/0/0,1/0/0,13/12/3,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160113,0/0/0,1/1/0,1/1/0,0/0/0,0/0/0,7/7/4,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,1/0/0,0/0/0,1/0/0,3/2/0,0/0/0,11/10/3,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160114,0/0/0,0/0/0,3/3/1,0/0/0,0/0/0,24/22/9,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,1/1/1,0/0/0,7/1/0,8/7/1,0/0/0,6/0/0,0/0/0,2/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,1/1/1,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160115,1/1/0,0/0/0,1/1/0,1/1/0,0/0/0,19/18/7,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,6/1/0,0/0/0,6/0/0,6/6/0,0/0/0,2/1/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,3/1/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160116,0/0/0,3/3/0,0/0/0,4/4/1,1/1/0,25/23/15,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,11/10/5,0/0/0,11/9/4,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,5/4/2,0/0/0,2/1/1,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160117,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,27/26/15,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,8/8/0,0/0/0,10/9/3,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,3/3/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160118,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,16/16/8,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,4/3/1,0/0/0,25/19/8,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,1/1/1,0/0/0,1/1/1,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160119,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,5/5/4,0/0/0,0/0/0,1/0/0,0/0/0,2/0/0,0/0/0,0/0/0,0/0/0,16/14/2,0/0/0,33/31/12,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,1/1/0,0/0/0,3/3/2,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160120,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,8/8/5,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,1/1/0,1/0/0,0/0/0,2/1/1,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160121,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,21/19/15,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,3/2/0,0/0/0,0/0/0,16/15/2,0/0/0,6/5/1,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160122,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,18/16/9,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,3/1/0,0/0/0,1/0/0,14/13/2,1/1/0,5/4/1,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160123,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,21/19/9,0/0/0,0/0/0,1/0/0,0/0/0,2/0/0,0/0/0,0/0/0,0/0/0,12/11/2,0/0/0,11/1/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,3/3/0,0/0/0,2/2/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160124,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,25/25/11,0/0/0,12/12/8,1/0/0,0/0/0,1/0/0,2/2/1,0/0/0,0/0/0,17/15/4,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160125,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,13/12/7,0/0/0,17/17/9,1/0/0,0/0/0,2/0/0,2/2/0,0/0/0,0/0/0,17/16/2,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,5/2/1,0/0/0,5/5/1,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160126,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,11/11/4,0/0/0,0/0/0,1/0/0,0/0/0,2/0/0,0/0/0,0/0/0,2/2/0,13/12/2,1/1/0,16/12/4,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,2/2/0,0/0/0,12/12/4,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160127,0/0/0,4/4/0,0/0/0,0/0/0,3/3/0,12/12/10,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,5/5/0,7/6/0,0/0/0,9/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,7/2/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160128,0/0/0,0/0/0,6/6/0,0/0/0,0/0/0,9/9/2,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,2/1/0,0/0/0,3/3/0,4/3/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,6/6/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160129,0/0/0,2/2/0,1/1/0,0/0/0,1/1/0,2/2/1,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,1/1/0,0/0/0,0/0/0,27/26/7,2/2/0,21/20/1,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160130,0/0/0,1/1/0,0/0/0,0/0/0,2/2/0,14/13/7,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,2/2/0,0/0/0,3/3/0,67/6/1,1/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160131,0/0/0,1/1/0,0/0/0,0/0/0,0/0/0,19/17/7,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,7/6/2,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,2/2/1,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160201,0/0/0,1/1/0,2/2/0,1/1/0,0/0/0,15/15/8,0/0/0,1/1/1,1/0/0,0/0/0,1/0/0,4/1/0,0/0/0,0/0/0,2/1/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,2/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160202,0/0/0,2/2/0,3/3/1,0/0/0,0/0/0,14/14/4,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,3/3/0,1/1/0,8/8/0,2/2/0,1/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,5/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160203,0/0/0,0/0/0,4/4/0,0/0/0,0/0/0,16/16/6,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,4/4/1,4/3/0,0/0/0,1/0/0,27/0/0,2/0/0,0/0/0,0/0/0,0/0/0,2/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160204,3/3/1,0/0/0,2/2/1,0/0/0,0/0/0,8/7/0,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,2/2/1,6/5/0,0/0/0,5/3/1,6/0/0,2/0/0,0/0/0,0/0/0,0/0/0,6/2/0,0/0/0,5/2/1,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
20160205,4/4/4,0/0/0,1/1/0,4/4/0,0/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,4/3/0,0/0/0,7/6/2,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,1/0/0,0/0/0,1/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
